id,outid,showname,st_astext
1,19,RJS,POINT(-79.9174057464715 43.2667240664171)
2,17,HH,POINT(-79.920175 43.26318367065)
3,3,TA,POINT(-79.9212067875 43.26204708294)
4,31,Alumni Memorial Hall,POINT(-79.919640775 43.26396935311)
5,16,C,POINT(-79.9194989597133 43.2653844628388)
6,14,MML,POINT(-79.9177167939495 43.2623999634474)
7,12,Wallingford Hall,POINT(-79.9217307732865 43.2630847469623)
8,10,IWC,POINT(-79.9158568540784 43.265767320529)
9,8,Bates Residence,POINT(-79.9224729363128 43.2639911886534)
10,7,McKay Hall,POINT(-79.9190697387022 43.2650816107021)
11,70,Hedden Hall,POINT(-79.9184204375 43.26632252581)
12,51,BSB,POINT(-79.9205531294064 43.2620402662442)
13,48,Divinity College,POINT(-79.9181690375 43.26186019233)
14,52,MMA,POINT(-79.9181499839447 43.2628342783679)
15,44,GH,POINT(-79.9182859137396 43.2635518885034)
16,38,T28,POINT(-79.9178485892635 43.2653662796708)
17,21,MEK,POINT(-79.9226628125 43.26239034992)
18,45,Moulton Hall,POINT(-79.9222505478139 43.263312222853)
19,42,NRB,POINT(-79.921295825 43.26157794827)
20,30,Woodstock Hall,POINT(-79.9192521245624 43.2660242785925)
21,29,T29,POINT(-79.9183973903345 43.2653464434875)
22,27,HSC,POINT(-79.9181510008961 43.2595983051884)
23,80,REAC,POINT(-79.9216449066053 43.2612079672961)
24,66,MDCL,POINT(-79.9168596625 43.2610859251)
25,59,ITB,POINT(-79.9210585307877 43.2585205516271)
26,28,ETB,POINT(-79.9201278625 43.25851132041)
27,83,IAHS,POINT(-79.9209070877798 43.2595553954349)
28,82,UH,POINT(-79.919200825 43.26343539526)
29,35,TSH,POINT(-79.9175232255484 43.2644491867967)
30,57,Health Sciences Parking,POINT(-79.91713725 43.25849987748)
31,60,DSB,POINT(-79.916502293317 43.263797667544)
32,77,The Oval,POINT(-79.9138124046143 43.2648446257895)
33,40,TL,POINT(-79.9226092760734 43.2612804213016)
34,23,CNH,POINT(-79.9184250801269 43.2641010681723)
35,15,KTH,POINT(-79.9171954973027 43.2639575944282)
36,73,MUSC,POINT(-79.9172742683917 43.2633138543038)
37,71,CRL,POINT(-79.9192843026033 43.2592947560495)
38,69,Alumni House,POINT(-79.9230084875 43.26516311335)
39,62,Edwards Hall,POINT(-79.9190573584693 43.264072140405)
40,55,Royal Botanical Gardens,POINT(-79.9220821056776 43.2666407565636)
41,33,PC,POINT(-79.9194559724462 43.2598409627039)
42,25,ABB,POINT(-79.9215943625 43.26051761432)
43,5,JHE,POINT(-79.920537030475 43.2603132246337)
44,54,Green house,POINT(-79.92069875 43.26301585367)
45,53,Brandon Hall,POINT(-79.9199604524037 43.2659397129217)
46,74,T13,POINT(-79.9195412624998 43.258866982949)
47,36,Parking Lot I,POINT(-79.9222043475632 43.2591600031306)
48,6,Parking Lot B/C,POINT(-79.9165558875 43.26306543601)
49,50,Les Prince Hall,POINT(-79.91701155 43.26751242617)
50,49,GSB,POINT(-79.9212067875 43.26234458111)
51,47,DBAC,POINT(-79.9163778125 43.26509446324)
52,39,LS,POINT(-79.918003621785 43.2609963472433)
53,78,CUC,POINT(-79.9222895811398 43.2617579247769)
54,67,Matthews Hall,POINT(-79.9222499684162 43.2627615155933)
55,61,Whidden Hall,POINT(-79.9196518387349 43.2649594235002)
56,58,Refectory,POINT(-79.92120155 43.26291668887)
57,86,Stadium,POINT(-79.9157470353462 43.2667336618516)
58,88,LRW,POINT(-79.91676052570344 43.26179662009869)
59,89,ADL,POINT(-79.9274303069047 43.26336012677925)
60,90,CSB,POINT(-79.92774955526235 43.26195143302181)
